keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""Hip Joint Prostheses Instrumentation Set (髋关节假体配套工具组合(商品名：Metabloc)"",""Digital X-ray Intraoral Imaging Sensor (数字X射线口内影像接受器"",""Micro Wire Guides (微导丝"",""Venous Thrombectomy Catheter (静脉取血栓导管（商品名：Fogarty）"",""Phenobarbital Calibrator (苯巴比妥校准品"",""Service Set (牙科种植体手术用工具"",""Dental Files (牙用锉(商品名：ProTaper Universal)"",""Stimulation current therapy unit (吞咽言语诊治仪"",""Movement  Therapy  Unit (康复治疗设备"",""Flexima Drainage Catheter and Kit (一次性使用引流导管包及配件（商品名：Flexima）"",""Blood Gas Control Level 2 (血气分析质控品"",""OptiView Amplification Kit (增强扩增试剂盒"",""URiSCAN Super Cassette (尿液分析试纸条(干化学法)(商品名：URiSCAN Super Cassette尿液化学分析试纸条 )"",""Calcium Arsenazo Ⅲ fluid Mono (钙检测试剂盒(偶氮砷Ⅲ比色法)"",""Eclectica AFP Reagent Kit (甲胎蛋白检测试剂盒(磁微粒免疫分析法)""]"
"[""VITROS Chemistry Products TP DT Slides (总蛋白测定干片(比色法)"",""ISE Calibrator indirect/Urine (电解质定标液"",""Ultrasonics dental descaler equipment (超声洁牙设备"",""种植手机 (种植手机"",""Electric Motor for Dental Handpiece (牙科电动马达"",""Dental Handpiece-Contra Angle (牙科弯手机"",""睡眠呼吸暂停治疗仪 (睡眠呼吸暂停治疗仪"",""RIA-Reamer Irrigator Aspirator (矫形外科(骨科)手术器械-扩髓,灌注,吸引系统(商品名：RIA)"",""The Hall Micro 100 Surgical Drill System (气动手术钻系统"",""Powerflex Pro PTA Dilatation Catheter (球囊扩张导管(商品名:PowerFlex Pro)"",""外周中心静脉导管防针刺穿刺附件包 (外周中心静脉导管防针刺穿刺附件包"",""Angiographic Catheter (血管造影导管"",""Rubicon 14 Support Catheter (支撑导管(商品名：Rubicon 14)"",""IMMULITE2000 LH (促黄体生成素测定试剂盒(化学发光法)"",""血清学质控品 (血清学质控品""]"
"[""医学影像诊断系统Medical Imaging Diagnostic System (医学影像诊断系统"",""ARCHITECT Homocysteine Calibrators (同型半胱氨酸校准品"",""Surgical mesh (疝补片(商品名：赫美)"",""Vascular-Patch (血管补片"",""Clydesdale Spinal System (椎间融合器(商品名：Clydesdale)"",""Bencox Ceramic head and liner (陶瓷股骨头及陶瓷内衬(商品名：Bencox)"",""Wires (金属骨针"",""Hip system (髋关节假体组件(商品名：BENCOX)"",""DRX-Ascend System (数字化医用 X 射线摄影系统"",""CR System (影像板扫描处理系统"",""高压注射器 (高压注射器"",""BICON PLUS Instrument (髋臼置换手术工具(商品名：BICON- PLUS)"",""Hip Joint Prostheses Instrumentation Set (髋关节假体配套工具组合(商品名：Wagner)"",""CYSTROSCOPY AND ACCESSORIES (膀胱镜及附件"",""Bone Filler Devices (骨水泥推送器""]"
"[""Locking Talar-Fit Surgical kit (骨螺钉手术工具套包(商品名：Talar-Fit)"",""Extremity Traction Device (肩腕关节手术固定系统(商品名：Traction Tower)"",""Bone Biopsy Devices (骨取样器"",""Motor System (动力系统(商品名：Servotronic II EC100)"",""IMMULITE2000 Insulin (胰岛素测定试剂盒(化学发光法)"",""Ocular Viscoelastic Solution (眼用粘弹剂(商品名：EYEFILL D.C.)"",""Amvisc Viscoelastic (眼科手术粘弹剂(商品名：Amvisc)"",""VITROS Chemistry Products Calibrator Kit 13 (庆大霉素校准品"",""VITROS Chemistry Products Calibrator Kit 22 (载脂蛋白B校准品"",""VITROS Chemistry Products ApoB Performance Verifier I (载脂蛋白B质控品"",""EMG/NCV/EP measuring system (肌电/神经传导/诱发检测系统"",""Blood Pressure and Blood Glucose Measurement System (血压血糖测定仪(商品名：施家乐)"",""Pioneer Interbody Fusion (椎间融合器"",""Insulin Pump (胰岛素注射泵(商品名：Paradigm)"",""Spectra Optia Exchange Set (一次性使用血细胞分离器（商品名：Optia）""]"
"[""Hip Endoprosthetic Systems (骨水泥股骨柄(商品名：奥特)"",""Mandible Distractor, monoaxial (下颌单向牵引器"",""PYRAMESH C TITANIUM MESH (钛网融合器"",""Anterior Cruciate Ligament Repair System (前交叉韧带修复系统"",""Surgical Instruments for The Hip Joint Prostheses (髋关节假体用手术器械"",""Shoulder System Instrument (肩关节系统配套工具组合(商品名：Anatomical)"",""Pin Instruments (弹性针安装手术器械"",""Cranio Maxillofacial Instruments (颅颌面外科手术工具"",""Orthopedic Drills (骨科钻头(商品名：骨科钻头)"",""Ulna and Radius/Fibula Instrument (髓内钉安装手术器械"",""ARCHITECT Homocysteine Reagent Kit (同型半胱氨酸测定试剂盒(化学发光微粒子免疫检测法)"",""Total Protein (总蛋白检测试剂盒(双缩脲法)"",""VIDEO TELESCOPES (电子腹腔镜(商品名：EndoEYE)"",""Arthroscopes and Accessories (关节镜及附件"",""十二指腸ビデオスコープ (电子十二指肠镜（商品名：奥智）""]"
"[""ビデオ軟性十二指腸鏡 (电子十二指肠内窥镜"",""ビデオ軟性十二指腸鏡 (电子十二指肠内窥镜"",""Neuro-Endoscopes and Accessories (脑室镜及附件"",""Radiographic Film Processor (X射线胶片洗片机(商品名：Compact 2)"",""Cassette with Screen (暗盒及增感屏"",""Relieva Vortex Sinus Irrigation Catheter (鼻窦冲洗导管(商品名：Relieva Vortex)"",""Beckman Coulter Chemistry Analyzer (全自动生化分析仪"",""Beckman Coulter Chemistry Analyzer (全自动生化分析仪"",""Dentocult CA (口腔白色念珠菌培养浸片"",""CORNEA PROTECT (角膜保护剂"",""PO2 Electrode (氧分压电极"",""Potassium Electrode (钾电极"",""Reference Electrode (参比电极"",""X-ray Tube Assembly (X射线管组件"",""Trauma Straight Plate System (直型接骨板""]"
"[""Cem-Ostetic synthetic bone putty and Bi-Ostetic synthetic Bone Granules (人工骨浆、骨粒"",""HCY Calibrator (同型半胱氨酸校准液"",""IMTEC-SmD1-ANTIBODIES (史密斯抗体测定试剂盒(酶联免疫法)"",""IMTEC-CARDIOLIPIN-ANTIBODIES COMBI (心磷脂抗体测定试剂盒(酶联免疫法)"",""IMTEC-PR3-ANCA (蛋白酶3抗体测定试剂盒(酶联免疫法)"",""Medical Scissors (医用剪"",""原文：マニープラーリムーバー (拆钉钳"",""メス (手术刀(商品名：复生特手术刀)"",""剥離子 (剥离子(商品名：复生特剥离子)"",""ファースト鋭匙·鈍匙 (锐匙及钝匙(商品名：复生特锐匙及钝匙)"",""C-Camsource HD Twister (摄像系统"",""Motor System for Endoscope (内窥镜用动力系统(商品名：Unidrive S III)"",""Suction/Irrigation Tube System (吸引/灌流系统"",""ISE Calibrator direct (电解质定标液(直接法)"",""造影チューブ (造影管""]"
"[""Endocavity Needle Guidance Systems (针导引器及附件"",""LIGAMAX 5mm Endoscopic Multiple Clip Applier (腔内连发施夹器(商品名：LIGAMAX 5)"",""Urea UV fluid 5+1 (尿素检测试剂盒(动力学法)"",""LDH-L fluid 5+1 (乳酸脱氢酶检测试剂盒(动力学法)"",""Ultra Fast-Fix absorbable Meniscal Repair System (半月板缝合系统(商品名：Ultra Fast-Fix AB)"",""Flow Cytometer (流式细胞仪"",""Precimat Fructosamine (果糖胺检测用校准品"",""Serum proteins T Standard (血清蛋白校准品"",""Intraoral Digital X-ray Imaging Unit (口腔数字X射线成像探测器"",""Computed Radiography Device for Radiograph X-ray (X射线摄影用影像板成像装置"",""NEFA (游离脂肪酸检测试剂盒(比色法)"",""single-use sterile rubber surgical gloves (一次性使用灭菌橡胶外科手套"",""Intrauterine Insemination Catheter (子宫内授精导管"",""IMTEC-MPO-ANCA (髓过氧化物酶抗体测定试剂盒(酶联免疫法)"",""Glucose Control Solution (葡萄糖质控液""]"
"[""Glucose Standard Solution (葡萄糖校准液"",""ARCHITECT HbA1c Calibrators (糖化血红蛋白校准品"",""Bone Suppression software for Chest Radiographs (胸部X射线图像去骨软件"",""Computer-Aided Detection (CAD) software for chest radiographs (胸部X射线图像计算机辅助检测软件"",""CT Dynamic Angio Imaging Evaluating Software (CT动态血管图像评估软件"",""CT Pulmo 3D Imaging Analytic Software (CT肺3D图像分析软件"",""MARK 7 ARTERION Disposable Syringe (一次性使用高压注射器针筒及附件（商品名：Medrad）"",""CMV IgG Avidity (巨细胞病毒IgG抗体亲和力检测试剂盒(电化学发光法)"",""Alkaline Phosphatase liquicolor (血清碱性磷酸酶测定试剂盒(速率法)"",""Alere Triage(R)D-Dimer Test (D-二聚体测试板(荧光免疫法)"",""Pericardial Bioprosthesis (生物瓣膜(商品名：Carpentier-Edwards PERIMOUNT Magna)"",""Scorpio Total Knee System (全膝关节系统(商品名：Scorpio)"",""AST (谷氨酸草酰乙酸转氨酶检测试剂盒(IFCC法)"",""ARCHITECT Free T4 Reagent Kit (游离甲状腺素测定试剂盒 (化学发光微粒子免疫检测法)"",""Pancreatic Amylase (胰淀粉酶检测试剂盒(比色酶法)""]"
"[""IMMULITE2000 ACTH (促肾上腺皮质激素测定试剂盒(化学发光法)"",""TSH3-Ultra (TSH3-UL) (促甲状腺素测定试剂盒(直接化学发光法)"",""Insulin Calibrator (胰岛素校准液"",""Anatomic Radial Head System Instruments (桡骨头假体系统工具"",""OxfordKnee System Instruments (单髁膝关节手术工具(商品名：Oxford)"",""Bone Surgical Instruments (后路腰椎椎间融合器手术工具"",""Reflex Zero Profile Instrument (颈前路固定板配套工具"",""Total Hip System Instrument-Stem Inserter (全髋系统手术工具-股骨柄打入器(商品名：Pipeline)"",""LUMBOSACRAL BAND (腰部护带(商品名：SPINAL ORTHOSIS)"",""IgA (免疫球蛋白A检测试剂盒(免疫比浊法)"",""VITROS Immunodiagnostic Products Troponin I ES Reagent Pack (肌钙蛋白 I 测定试剂包(化学发光法)"",""VITROS Immunodiagnostic Products Total β-hCG II Reagent Pack (总人绒毛膜促性腺激素β亚单位II测定试剂包(化学发光法)"",""Anaesthesia system (麻醉系统"",""Trigen SURESHOT Distal Targeting System (髓内钉远端锁钉定位器"",""Ventilator Support System (呼吸机""]"
"[""Ureteral stent-sets (输尿管支架及附件"",""Linvatec XO Button Implant Set (悬吊固定环套件(商品名：XO Button)"",""Biomet Peritrochanteric Nail (PTN) System Instruments Class I (创伤手术工具"",""HWDA humerus Instruments (肱骨髓内钉安装手术器械"",""Instrument for Short Modular Femoral System (股骨柄置换手术器械(商品名：SMF)"",""Trauma ATN\u0026Versanail Instruments (骨科创伤髓内钉工具(商品名：ATN\u0026Versanail)"",""LIAISON(R) XL murex HCV Ab (丙型肝炎病毒抗体检测试剂盒(化学发光法)"",""高速气涡轮手机 (高速气涡轮手机"",""Medical Ultrasound Probe (医用超声波探头"",""VECTOR Treatment appliance (超声治疗仪（商品名：英文商品名:VECTOR  中文商品名:维可托）"",""E-LINK Evaluation \u0026 Exercise Systems (平衡训练系统"",""Neonatal Phototherapy Unit (窄波LED黄疸治疗仪"",""Low Temperature Plasma Sterilizer (低温等离子体灭菌器"",""Automatic Endoscope Reprocessor (内镜清洗消毒机(商品名：ENDOCLENS-NSX)"",""CONFIRM anti-CD79a (SP18) Rabbit Monoclonal Primary Antibody (抗CD79a(SP18) 兔单克隆抗体试剂(免疫组织化学法)""]"
"[""CONFIRM anti-LMO2 (1A9-1) Mouse Monoclonal Primary Antibody (抗LMO2(1A9-1) 鼠单克隆抗体试剂(免疫组织化学法)"",""anti-bcl-2 (SP66) Rabbit Monoclonal Primary Antibody (抗bcl-2(SP66) 兔单克隆抗体试剂(免疫组织化学法)"",""CONFIRM anti-CD20 (L26) Primary Antibody (抗CD20(L26) 鼠单克隆抗体试剂(免疫组织化学法)"",""cobas(R) 4800 BRAF V600 Mutation Test (BRAF V600基因突变检测试剂盒(PCR荧光法)"",""Disposable Dental Needles (一次性牙科注射针"",""Jabczenski Ductogram Cannula (乳腺定位针"",""ZENOTEC Titanbasis (人工牙种植体基台"",""CK NAC-activated (肌酸激酶检测试剂盒(紫外线法)"",""Elastomeric Infusion Pump (一次性使用输注泵"",""FLASH pearl (洁牙喷砂粉"",""Automatrix Retainerless Matrix System and Accessory (成型片系统及附件"",""Wallstent Biliary Endoscopic Biliary Endoprosthesis Uncovered (带推送系统的胆道金属支架（商品名：Unistep Plus Wallstent）"",""运动心肺功能系统 (运动心肺功能系统"",""Bio-Trend Oxygen Saturation and Hematocrit System (血氧饱和度与血细胞压积测量仪（商品名：Bio-Trend）"",""CD45/CD4/CD8/CD3检测试剂盒(流式细胞仪法) (CD45/CD4/CD8/CD3检测试剂盒(流式细胞仪法)""]"
"[""IMMUNOPREP Reagent System (溶血剂"",""Angiographic Catheter (造影导管"",""PTA Catheter (外周球囊扩张导管（商品名：Admiral Xtreme）"",""Carotid Guide Catheter (指引导管（商品名：PITON GC）"",""Visisheath Dilator Sheath (扩张鞘"",""Laser Imaging Film (医用红外激光胶片"",""Laser Imaging Film (医用红外激光胶片"",""Plate and Cassette (影像板及暗盒"",""X-Ray Protective Aprons (X射线防护服"",""BD FACSFlow Sheath Fluid (鞘液"",""COULTER DxH Diff Pack (溶血剂"",""COULTER DxH Retic Pack (网织红细胞染色液"",""Retic PAK (网织红细胞试剂"",""Albumin fluid Mono (白蛋白检测试剂盒(溴甲酚绿法)"",""GOT(ASAT) IFCC fluid 5+1 (谷草转氨酶检测试剂盒(IFCC法)""]"
