keywords
""
"[""一次性使用袋式输液器"",""扎丝"",""医用胶片"",""人类免疫缺陷病毒抗体检测试剂盒(微粒子化学发光法)"",""乙型肝炎病毒表面抗原定量测定试剂盒(微粒子化学发光法)"",""乙型肝炎病毒表面抗体检测试剂盒(微粒子化学发光法)"",""视觉电生理仪"",""QRS量子共振检测仪"",""生物显微镜"",""超声波鼻炎治疗仪"",""皮肤修复膜(商品名：海孚)"",""组织夹"",""硅凝胶填充乳房植入体"",""金属接骨螺钉"",""颌面接骨板""]"
"[""γ-谷氨酰转肽酶同工酶Ⅱ检测试剂盒"",""TiNi环抱式接骨器(商品名：TiNi环抱式接骨器)"",""一次性使用血浆单采滤膜分离器"",""血液透析浓缩液、血液透析B干粉"",""一次性使用离心袋式血液成分分离器"",""总胆汁酸测定试剂盒(酶循环法)"",""肌酸激酶同工酶测定试剂盒(免疫抑制法)"",""糖化血清蛋白测定试剂盒(NBT还原法)"",""血沉压积动态分析仪"",""超声影像分析仪"",""分叉型覆膜支架及输送系统(商品名：Hercules)"",""金属解剖型接骨板"",""肘关节假体"",""一次性使用血液灌流器(商品名：一次性使用树脂灌流器)"",""乙型肝炎病毒e抗体检测试剂盒(酶联免疫法)""]"
"[""乙型肝炎病毒表面抗体检测试剂盒(酶联免疫法)"",""神经元特异性烯醇化酶(NSE)检测试剂盒(磁微粒化学发光法)"",""鳞状上皮癌相关抗原(SCC-Ag)检测试剂盒(磁微粒化学发光法)"",""乙肝病毒e抗体IgG(HBeAb"",""苯丙氨酸定量检测试剂盒(酶法)"",""一次性使用无菌心脏二尖瓣球囊扩张导管配件"",""乙型肝炎病毒DNA定量检测试剂盒(荧光PCR法)"",""全自动尿液分析工作站"",""假丝酵母显色平板(CMG)"",""手术导航系统"",""急救呼吸机"",""一次性使用输注泵"",""牙根管充填尖(商品名：牙胶尖)"",""合成树脂牙"",""渝光汉牌弱视治疗仪""]"
"[""HX"",""LED手术无影灯"",""微波治疗仪"",""人工髋关节部件-陶瓷股骨头"",""人工膝关节"",""接骨螺钉“亞太醫療”骨釘"",""内八角种植体配件台灣之星內八角植體系統"",""吗啡检测试剂盒(胶体金法)"",""乙型肝炎病毒核心抗体检测试剂盒(化学发光法)"",""玻璃离子粘固剂（商品名：GⅠ-1型玻璃离子粘固剂）"",""熏蒸治疗机"",""颈腰椎治疗多功能牵引床"",""多功能牵引床"",""颈椎牵引机"",""高强度硬质钴铬合金""]"
"[""透骨祛痛贴(已注销)"",""金属锁定接骨板钉系统"",""髌骨爪"",""下肢固定带"",""一次性使用非灭菌橡胶外科手套"",""一次性使用灭菌橡胶外科手套"",""一次性使用无菌导尿管"",""医用胶管"",""眼科超声诊断仪"",""癌胚抗原(CEA)定量测定试剂盒(化学发光法)"",""EB病毒IgA抗体检测试剂盒(胶体金法)"",""戊型肝炎病毒IgM抗体检测试剂盒(胶体金法)"",""结核感染T细胞检测试剂盒(酶联免疫法)(商品名：瑅碧"",""药物性耳聋基因突变检测试剂盒(荧光PCR法)"",""过敏原特异性IgE抗体检测试剂盒(酶联免疫法)""]"
"[""乙肝病毒e抗原(HBeAg)测定试剂盒(化学发光法)"",""可吸收防粘连膜"",""可吸收性外科缝线(带针)"",""超声医用诊断报告胶片(商品名：俪视捷)"",""麻醉机"",""全自动注药泵（商品名：爱朋）"",""生物安全柜"",""金属接骨螺钉"",""一次性使用脑检测电极"",""肌红蛋白检测试剂盒(胶乳增强免疫比浊法)"",""视野计"",""阿是超声波治疗仪"",""隔离透声膜"",""视觉电生理检查仪"",""超声关节炎治疗仪""]"
"[""一次性使用负压引流护创材料"",""医用中心吸引系统"",""医用中心供氧系统"",""特定电磁波(TDP)辐射板"",""一次性使用血管内导管导引器械"",""一次性使用精密过滤输液器"",""一次性使用冠状动脉球囊扩张导管(商品名：Sapphire"",""静脉剥脱器"",""一次性使用造影导丝"",""电刀笔及其配件“升望”電燒筆"",""血糖试纸(商品名：虹吸)"",""生物安全柜"",""生物安全柜"",""生物安全柜"",""生物安全柜""]"
"[""UWI"",""光子治疗仪"",""308nm紫外光治疗仪"",""CF脊柱后路内固定器"",""椎体融合器"",""苯丙氨酸定量检测试剂盒(荧光法)"",""风疹病毒IgM抗体测定试剂盒(酶联免疫法)"",""人类免疫缺陷病毒抗体(HIV1/2)口腔分泌物检测试剂盒(胶体金法)"",""高危型人乳头瘤病毒(HPV)核酸检测试剂盒(杂交捕获-化学发光法)(商品名：careHPVTM"",""一次性使用去白细胞输血器"",""一次性使用机采血细胞分离器"",""生物安全柜"",""血糖试纸(葡萄糖氧化酶法)"",""血糖仪(商品名：瑞特)"",""甘油三酯检测试剂盒(酶法)""]"
"[""低密度脂蛋白胆固醇检测试剂盒(酶法)"",""尿酸检测试剂盒(尿酸酶法)"",""尿素检测试剂盒(脲酶-谷氨酸脱氢酶法)"",""肌酐检测试剂盒(酶法)"",""颅内压无创检测分析仪"",""负电场治疗仪"",""医用激光蓝胶片"",""FXD50型医用数字化X射线摄影系统"",""导电粘胶电极"",""金属股骨颈固定钉"",""金属微型接骨板"",""一次性使用无菌注射器"",""一次性使用静脉输液针"",""微波治疗机"",""微波热疗机""]"
"[""肿瘤热疗仪"",""高压电位治疗仪"",""肺炎衣原体抗体IgM检测试剂盒(酶联免疫法)"",""肺炎衣原体抗体IgG检测试剂盒(酶联免疫法)"",""电切镜"",""针管收纳式静脉留置针"",""糖类抗原72-4(CA72-4)检测试剂盒(磁微粒化学发光法)"",""过敏原特异性IgE抗体检测试剂盒"",""甲胎蛋白测定试剂盒(胶乳免疫比浊法)"",""一次性使用产包"",""医用棉垫"",""血糖试条"",""γ-谷氨酰转移酶试剂盒"",""透析浓缩液"",""骨修复材料""]"
"[""骨接合植入物"",""金属股骨颈固定钉"",""金属角度型接骨板"",""定制式义齿"",""中联医学影像系统(ZLPACS)"",""FASCO系列全自动血流变快测仪"",""雷火灸(商品名：赵氏雷火灸)"",""一次性使用输液器"",""一次性使用输液器（商品名：缓排空输液器）"",""一次性使用精密过滤微调式输液器"",""一次性使用精密过滤输液器"",""结扎血管夹(商品名：佳助)"",""金属骨针"",""硅橡胶人工鼻梁"",""金属鹅头接骨板""]"
"[""金属解剖型接骨板"",""甲基安非他明检测试剂盒(胶体金法)"",""金属解剖型接骨板"",""镍钛记忆合金自扩张式医用内支架(食道支架)"",""镍钛记忆合金自扩张式医用内支架(胆道支架)"",""镍钛记忆合金自扩张式医用内支架(气道支架)"",""丙型肝炎病毒IgG(HCV"",""乙肝病毒表面抗体IgG(HBsAb"",""乙肝病毒核心抗体IgG(HBcAb"",""抗人球蛋白检测卡"",""一次性使用精密过滤输液器"",""一次性使用袋式输液器"",""骨科刨刀(商品名：XS-OPD骨科刨刀)"",""肌贴胶布"",""自粘弹性绷带""]"
"[""细胞角蛋白7检测试剂盒(免疫组织化学法)"",""细胞角蛋白20检测试剂盒(免疫组织化学法)"",""高分子量细胞角蛋白检测试剂盒(免疫组织化学法)"",""氯胺酮检测试剂盒(胶体金法)"",""多功能红外治疗仪"",""多功能皮肤电磁波治疗仪"",""尿有形成分分析仪专用鞘液"",""尿有形成分分析仪通用染色液"",""尿有形成分分析仪通用稀释液"",""血细胞分析仪通用溶血剂"",""血细胞分析仪通用鞘液"",""纱布绷带"",""医用胶片"",""医用胶片机"",""游离前列腺特异性抗原(fPSA)测定试剂盒(化学发光法)""]"
"[""神经元特异性烯醇化酶(NSE)测定试剂盒(化学发光法)"",""铁蛋白(Fer)测定试剂盒(化学发光法)"",""交替式减压气垫床"",""交替式减压气垫床"",""血糖测试仪(商品名:"",""静脉曲张袜(商品名:金尼)原文名称：金尼靜脈曲張襪"",""人类免疫缺陷病毒(HIV"",""ABO血型抗原检测卡（微柱凝胶）"",""总前列腺特异性抗原(t-PSA)定量测定试剂盒(化学发光免疫分析法)"",""一次性使用无菌注射器"",""一次性使用防针刺静脉留置针"",""一次性使用无菌注射针"",""一次性使用血浆分离器(商品名：一次性使用血浆分离器)"",""眼科裂隙灯显微镜检查仪"",""LED观片灯""]"
"[""生物安全柜"",""生物安全柜"",""破伤风毒素IgG抗体定量检测试剂盒(酶联免疫法)"",""医用钬激光(Ho:YAG)治疗机"",""腹腔镜高频手术器械"",""血液琼脂培养基"",""医用弹力袜(商品名:舒尔美)原文名称：舒爾美醫用彈力襪"",""脊柱内固定器材"",""脊柱后路钉棒系统(商品名:先锋)/"",""实时动态血糖监测系统"",""放疗图像引导系统"",""医用激光白胶片"",""医用喷墨白胶片"",""一次性使用治疗性血浆置换用管路"",""一次性使用单采血浆分离器""]"
"[""血液透析机"",""颈椎后路钉板固定系统"",""脊柱后路内固定器"",""带光源枪式肛肠套扎器(套装)(商品名：肛肠套扎吻合器)"",""数字高频医用诊断X射线机"",""GPX200S型高频医用诊断X射线机"",""冲洗器"",""KRL-TMDA型远程心电检测系统"",""KRL-NM型诱发电位/肌电检测仪"",""软性亲水接触镜(商品名：清朗季抛)"",""电切镜"",""软性亲水接触镜"",""脉冲磁治疗仪(商品名：骨愈合治疗仪)"",""动静脉脉冲气压泵"",""特定电磁波治疗器""]"
"[""LED光照治疗仪"",""弱视治疗仪"",""艾灸装置(百笑灸)"",""脊柱后路钉棒系统"",""脊柱后路钉棒系统"",""多孔生物陶瓷人工骨(商品名：骼力康)"",""金属接骨板"",""颌面接骨板"",""X射线计算机体层摄影系统(商品名：ANATOM)"",""三丙胺清洗液"",""二氧化碳(CO2)检测试剂盒(PEP-C法)"",""肌酐(CRE)检测试剂盒(氧化酶法)"",""总胆汁酸(TBA)检测试剂盒(循环酶法)"",""天门冬氨酸氨基转移酶测定试剂盒(连续监测法)干粉剂型"",""白蛋白测定试剂盒(溴甲酚绿法)""]"
"[""直接胆红素测定试剂盒(钒酸盐法)"",""总胆红素测定试剂盒(钒酸盐法)"",""丙氨酸氨基转移酶测定试剂盒(连续监测法)液体剂型"",""L-γ-谷氨酰基转移酶测定试剂盒(连续监测法)液体剂型"",""碱性磷酸酶测定试剂盒(连续监测法)液体剂型"",""L-γ-谷氨酰基转移酶测定试剂盒(连续监测法)干粉剂型"",""碱性磷酸酶测定试剂盒(连续监测法)干粉剂型"",""便携式心电监测仪"",""促黄体生成激素(LH)定量测定试剂盒(化学发光法)"",""促甲状腺激素(TSH)定量测定试剂盒(化学发光法)"",""总甲状腺素"",""游离三碘甲状腺原氨酸"",""游离甲状腺素"",""总三碘甲状腺原氨酸"",""孕酮(P)定量测定试剂盒(化学发光法)""]"
"[""雌二醇(E2)定量测定试剂盒(化学发光法)"",""垂体泌乳素(PRL)定量测定试剂盒(化学发光法)"",""促卵泡生成激素(FSH)定量测定试剂盒(化学发光法)"",""睾酮(T)定量测定试剂盒(化学发光法)"",""X射线计算机断层摄影设备"",""头部多源γ射束立体定向放射治疗系统"",""乙型肝炎病毒表面抗原定量检测试剂盒(化学发光法)"",""乙型肝炎病毒e抗原检测试剂盒(化学发光法)"",""食物特异性IgG抗体检测试剂盒(酶联免疫法)"",""肺炎支原体IgM抗体检测试剂盒(胶体金法)"",""乙型肝炎病毒核心抗体检测试剂盒(酶联免疫法)"",""乙型肝炎病毒核心抗体IgM检测试剂盒(酶联免疫法)"",""痛经贴"",""乳痛贴"",""万痛筋骨贴""]"
"[""感冒贴"",""免疫球蛋白IgM测定试剂盒(免疫比浊法)"",""血糖试条(型号：滴血式)"",""血糖试条(型号：虹吸式、虹吸式顶端进样)"",""尿微量白蛋白半定量测试卡(胶体金法)"",""胰蛋白胨大豆肉汤培养基"",""真菌培养基"",""苏木色精-伊红染色试剂盒"",""幽门螺杆菌染色试剂盒(银染法)"",""一次性医用垫单"",""医用纱布绷带"",""玻璃火罐"",""医用床"",""诊查床"",""轻便产床""]"
"[""二型五官科椅"",""一次性使用静脉留置针"",""α-淀粉酶测定试剂(EPS-G7底物法)"",""葡萄糖测定试剂盒(GOD-POD法)"",""氯测定试剂(硫氰酸汞比色法)"",""镁测定试剂(二甲苯胺蓝比色法)"",""胆固醇测定试剂(CO-POD法)"",""尿素测定试剂(Urease-GLDH紫外法)"",""钙测定试剂(偶氮胂Ш法)"",""载脂蛋白B试剂盒(免疫透射比浊法)"",""JPS系列手持式全血葡萄糖测试仪"",""XT-系列阻鼾器"",""新生儿呼吸监护自救仪"",""手持式心电检测仪"",""指夹式脉搏血氧仪""]"
"[""定制式活动义齿"",""笔式胰岛素注射器(商品名称：秀霖笔)"",""血红蛋白测定试剂盒(SLS-Hb法)"",""丙氨酸氨基转移酶(ALT／GPT)试剂盒(比色法赖氏单位)"",""胃蛋白酶原I测定试剂盒(酶联免疫法)"",""医用外科口罩"",""血压脉搏测量装置"",""细胞清洗液"",""细胞保存液"",""髋关节置换手术器械"",""ST系列一次性使用真空采血管"",""医用输液泵"",""电动手术台"",""丙氨酸氨基转移酶测定试剂盒(连续监测法)干粉剂型"",""SL系列电动透气式褥疮防治床垫""]"
"[""定位仪"",""便携式多功能野战病床"",""总胆红素及直接胆红素校准品"",""脂蛋白a校准品"",""微量白蛋白校准品"",""胱抑素C校准品"",""X射线防护裙"",""颈后椎板成形系统手术器械"",""脊柱微创系统手术器械"",""助视器(商品名称：助视佳)"",""半自动生化分析仪"",""EverView"",""雷勃尔离心机"",""医用带"",""支条式下肢矫形器""]"
"[""KT-CH-ZY系列医用转运车"",""医师工作椅"",""医用胶贴"",""巧克力琼脂平板"",""丁型肝炎病毒抗原检测试剂盒(酶联免疫法)"",""丁型肝炎病毒抗体(IgM)检测试剂盒(酶联免疫法)"",""丁型肝炎病毒抗体检测试剂盒(酶联免疫法)"",""人乳头瘤病毒核酸检测试剂盒(PCR-荧光探针法)(商品名：pgHPV"",""KRL-WABP型移动动态血压监测仪"",""低温冷冻治疗系统(商品名：靶向刀)"",""流动树脂（商品名：登泰克流动树脂）"",""齿科聚羧酸水门汀(商品名：君德"",""一次性使用止液精密过滤袋式输液器(商品名：止液精密过滤袋式输液器)"",""球囊扩张导管用球囊充压装置"",""宫颈脱落细胞保存液""]"
"[""综合弱视治疗机"",""活动义齿修复体"",""固定义齿修复体"",""智能输液泵"",""红外生物效应治疗仪"",""红外生物效应治疗仪"",""自动洗板机"",""α-淀粉酶测定试剂盒(速率法)"",""白蛋白测定试剂盒(溴甲酚绿终点法)"",""胆固醇测定试剂盒(氧化酶法)"",""低密度脂蛋白胆固醇测定试剂盒(直接法)"",""钙测定试剂盒(偶氮砷Ⅲ法)"",""尿酸测定试剂盒(尿酸酶法)"",""葡萄糖测定试剂盒(氧化酶法)"",""透明质酸(HA)定量检测试剂盒(化学发光法)""]"
"[""层粘连蛋白(LN)定量检测试剂盒(化学发光法)"",""孕酮(Prog)定量检测试剂盒(化学发光法)"",""IV型胶原定量检测试剂盒(化学发光法)"",""丙氨酸氨基转移酶(ALT/GPT)试剂盒(速率法)"",""血浆游离血红蛋白测定试剂盒(Trinder法)"",""全自动生化分析仪"",""高速涡轮牙钻手机"",""WEF系列"",""髋关节置换手术器械"",""HR系列医用X射线防护手套"",""手动静态搬运车"",""胰岛素自身抗体(IAA)测定试剂盒(化学发光法)"",""层粘连蛋白(LN)测定试剂盒(化学发光法)"",""III型前胶原N端肽(PIIINP)测定试剂盒(化学发光法)"",""透明质酸(HA)测定试剂盒(化学发光法)""]"
"[""谷氨酸脱羧酶抗体(Anti-GAD)测定试剂盒(化学发光法)"",""二氧化碳测定试剂盒(酶法)"",""葡萄糖测定试剂盒(已糖激酶法)"",""钙测定试剂盒(偶氮胂III法)"",""肌酐测定试剂盒(酶法)"",""直接胆红素测定试剂盒(钒酸盐法)"",""γ-谷氨酰基转移酶"",""脊柱后路内固定系统（商品名：UPASS）"",""稀释液"",""染色液"",""肌红蛋白/肌钙蛋白/肌酸激酶同工酶(Myo/Tnl/CK-MB)定量检测仪"",""直线型吻合器"",""管型吻合器(FCSMF系列)"",""镜下吻合器"",""圆弧吻合器""]"
"[""管型吻合器(FCSSME系列)"",""管型吻合器(FCSSWF系列)"",""管型吻合器(FCSME系列)"",""管型吻合器(FCSLE系列)"",""丙氨酸氨基转移酶(ALT/GPT)试剂盒(酶动力学法)"",""白蛋白测定试剂(BCG法)"",""一次性使用无菌灌肠包"",""一次性使用无菌口腔护理包"",""一次性使用急救包"",""轻型颈部牵引器"",""胸骨牵开器"",""III型前胶原氨基端肽(PIIINP)定量检测试剂盒(化学发光法)"",""抗精子抗体检测试剂盒(增强化学发光免疫分析法)"",""抗卵巢抗体检测试剂盒(增强化学发光免疫分析法)"",""抗滋养层细胞抗体检测试剂盒(增强化学发光免疫分析法)""]"
"[""谷氨酸脱羧酶抗体检测试剂盒(增强化学发光免疫分析法)"",""抗子宫内膜抗体检测试剂盒(增强化学发光免疫分析法)"",""甲状腺球蛋白抗体检测试剂盒(增强化学发光免疫分析法)"",""抗人绒毛膜促性腺激素抗体检测试剂盒(增强化学发光免疫分析法)"",""葡萄糖测定试剂盒(己糖激酶法)"",""葡萄糖测定试剂盒(葡萄糖氧化酶法)"",""生物敷料"",""带可吸收线缝合针"",""一次性使用无菌胸腔穿刺包"",""一次性使用输液器"",""胰岛素样生长因子结合蛋白-1检测试剂盒(免疫层析法)"",""化学发光分析仪"",""肌酐测定试剂盒(肌氨酸氧化酶法)"",""一次性无菌中心静脉导管穿刺包(商品名：贝蕾)"",""C-肽(C-P)定量测定试剂盒(化学发光法)""]"
"[""促黄体生成素(LH)定量测定试剂盒(化学发光法)"",""总三碘甲腺原氨酸(TT3)定量测定试剂盒(化学发光法)"",""游离甲状腺素(FT4)定量测定试剂盒(化学发光法)"",""孕酮(P)定量测定试剂盒(化学发光法)"",""总甲状腺素(TT4)定量测定试剂盒(化学发光法)"",""促卵泡生成激素(FSH)定量测定试剂盒(化学发光法)"",""胰岛素(INS)定量测定试剂盒(化学发光法)"",""睾酮(T)定量测定试剂盒(化学发光法)"",""游离三碘甲腺原氨酸(FT3)定量测定试剂盒(化学发光法)"",""铁蛋白(Ferr)定量测定试剂盒(化学发光法)"",""肌酸激酶试剂盒-CK(速率法)(干粉)"",""钙试剂盒-Ca(MTB法)"",""尿酸试剂盒-UA(磷钨酸法)"",""雌二醇(E2)测定试剂盒(化学发光法)"",""β-绒毛膜促性腺激素(β-HCG)测定试剂盒(化学发光法)""]"
"[""促黄体生成激素(LH)测定试剂盒(化学发光法)"",""三碘甲腺原氨酸(T3)测定试剂盒(化学发光法)"",""促甲状腺激素(TSH)测定试剂盒(化学发光法)"",""游离甲状腺素(FT4)测定试剂盒(化学发光法)"",""胰岛素(INS)测定试剂盒(化学发光法)"",""游离三碘甲腺原氨酸(FT3)测定试剂盒(化学发光法)"",""脊柱后路钉棒内固定系统"",""中空接骨螺钉"",""金属锁定接骨螺钉"",""注射用交联透明质酸钠凝胶(商品名：舒颜)"",""戊型肝炎病毒RNA检测试剂盒(FQ-PCR法)"",""甲胎蛋白(AFP)定量检测试剂盒(时间分辨荧光免疫分析法)"",""癌胚抗原(CEA)定量检测试剂盒(时间分辨荧光免疫分析法)"",""肿瘤相关抗原242(CA242)定量检测试剂盒(时间分辨荧光免疫分析法)"",""乙型肝炎病毒核心抗体测定试剂盒(酶联免疫法)""]"
"[""心电检测仪"",""总胆红素测定试剂盒(钒酸盐法)"",""肌酸激酶同工酶MB测定试剂盒(速率法)"",""乳酸脱氢酶测定试剂盒(LD-L速率法)"",""尿素测定试剂盒(酶偶联速率法)"",""总蛋白测定试剂盒(双缩脲法)"",""改良Amies运送培养基"",""Amies运送培养基"",""stuart运送培养基"",""Cary-blair运送培养基"",""细菌培养瓶"",""地高辛(Dig)定量测定试剂盒(化学发光法)"",""甲状腺过氧化物酶抗体定量测定试剂盒(化学发光法)"",""淀粉酶测定试剂盒(CNPG3法)"",""前白蛋白测定试剂盒(透射比浊法)""]"
"[""肌酐测定试剂盒(氧化酶法)"",""铁测定试剂盒(比色法)"",""定量数字脑电图仪"",""葡萄糖测定试剂盒(葡萄糖氧化酶法、液体Ⅰ型)"",""肌酐测定试剂盒(苦味酸法、液体Ⅰ型)"",""直接胆红素测定试剂盒(重氮法，液体I型)"",""乳酸脱氢酶测定试剂盒(LD-L速率法、液体Ⅰ型)"",""镁测定试剂盒(二甲苯胺蓝法、液体I型)"",""一次性使用压力传感器"",""病人监护仪"",""腹腔内窥镜"",""脊柱后路内固定用矫形用棒（商品名：Herald矫形棒）"",""颅颌面接骨螺钉"",""“立见”护创液(商品名：医用伤口护理膜)"",""医用分子筛制氧机(商品名：喜康园制氧机)""]"
"[""FX200型"",""安必洁医用超声耦合剂(商品名：安欣超)"",""电子针疗仪(商品名：中低频电子针疗仪)"",""医用弹力袜骢豪"",""软性亲水接触镜"",""尿酸"",""尿素(UREA)测定试剂盒(酶速率法)"",""丙氨酸氨基转移酶(ALT)测定试剂盒(速率法)"",""载脂蛋白B(ApoB)测定试剂盒(免疫比浊法)"",""低密度脂蛋白胆固醇(LDL-C)测定试剂盒(直接法)"",""一次性使用换药盒"",""射线防护眼镜"",""医用锁骨带"",""细胞计数仪"",""倍柔情人体润滑剂""]"
"[""妊娠高血压综合征监测系统软件"",""胃蛋白酶原Ⅰ(ＰＧⅠ)测定试剂盒(酶免疫分析)(商品名：PGⅠEIA"",""高灵敏C-反应蛋白(hs-CRP)测定试剂盒(酶免疫分析)(商品名：hs-CRP"",""视力训练仪(商品名称：OO眼保仪)"",""医用注射泵"",""妊娠高血压综合征监测系统"",""半自动血凝仪"",""耳声发射听力检测仪"",""脉搏血氧仪"",""膀胱镜"",""GR系列医用护腰带"",""磁红外治疗仪"",""医用腹带"",""医用胸带"",""铜、锌、钙、镁元素检测稀释液""]"
